Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
2017-02-10,7.590,7.650,7.190,7.320,1862360,26.1430,0.3205,
2017-02-09,7.240,7.600,7.230,7.540,3265758,26.9290,0.3302,
2017-02-08,7.100,7.530,7.050,7.270,4543753,25.9640,0.3184,
2017-02-07,7.170,7.200,7.000,7.030,1866463,25.1070,0.3078,
2017-02-06,7.140,7.290,7.060,7.150,1239940,25.5360,0.3131,
2017-02-03,7.230,7.315,7.100,7.160,2112823,25.5710,0.3135,
2017-02-02,7.190,7.340,7.120,7.190,2281222,25.6790,0.3149,
2017-02-01,7.300,7.360,7.170,7.180,2630361,25.6430,0.3144,
2017-01-31,7.040,7.330,7.010,7.270,2540611,25.9640,0.3184,
2017-01-30,7.000,7.220,6.910,7.140,3290260,25.5000,0.3127,
2017-01-27,7.360,7.360,6.960,7.050,3489681,25.1790,0.3087,
2017-01-26,7.630,7.630,7.205,7.350,4709640,26.2500,0.3219,
2017-01-25,7.560,7.710,7.515,7.630,2415942,27.2500,0.3341,
2017-01-24,7.580,7.680,7.500,7.520,2527179,26.8570,0.3293,
2017-01-23,7.580,7.680,7.385,7.510,2791496,26.8210,0.3289,
2017-01-20,7.700,7.827,7.515,7.710,2187843,27.5360,0.3376,
2017-01-19,7.620,7.789,7.480,7.690,3054231,27.4640,0.3367,
2017-01-18,8.160,8.290,7.550,7.650,5804978,27.3210,0.3350,
2017-01-17,8.180,8.600,8.130,8.170,5981980,29.1790,0.3578,
2017-01-16,0.000,0.000,0.000,8.150,0,N/A,N/A
2017-01-13,8.540,8.630,8.140,8.150,4786976,29.1070,0.3569,
2017-01-12,8.730,8.750,8.435,8.550,3363590,30.5360,0.3744,
2017-01-11,8.880,8.920,8.570,8.730,2303041,31.1790,0.3823,
2017-01-10,8.680,8.970,8.670,8.960,2887331,32.0000,0.3924,
2017-01-09,8.680,8.795,8.560,8.590,3084007,30.6790,0.3762,
2017-01-06,9.220,9.220,8.680,8.700,3690054,31.0710,0.3810,
2017-01-05,8.940,9.180,8.691,9.130,3393650,32.6070,0.3998,
2017-01-04,8.810,9.230,8.810,9.210,2966023,32.8930,0.4033,
2017-01-03,8.780,8.910,8.550,8.650,2377761,30.8930,0.3788,
2017-01-02,0.000,0.000,0.000,8.540,0,N/A,N/A
2016-12-30,8.660,8.759,8.480,8.540,1490863,30.5000,0.3740,
2016-12-29,8.690,8.910,8.590,8.670,1335836,30.9640,0.3797,
2016-12-28,8.800,8.901,8.580,8.640,1616231,30.8570,0.3783,
2016-12-27,8.650,8.905,8.640,8.790,1801258,31.3930,0.3849,
2016-12-26,0.000,0.000,0.000,8.640,0,N/A,N/A
2016-12-23,8.720,8.850,8.545,8.640,1639544,30.8570,0.3783,
2016-12-22,9.050,9.210,8.530,8.660,3978425,30.9290,0.3792,
2016-12-21,9.520,9.675,9.035,9.110,4372492,32.5360,0.3989,
2016-12-20,9.070,9.600,9.070,9.490,3891615,33.8930,0.4156,
2016-12-19,8.680,9.050,8.520,9.010,4139955,32.1790,0.3945,
2016-12-16,8.550,8.850,8.200,8.680,7711188,31.0000,0.3801,
2016-12-15,7.970,9.140,7.820,8.570,27541880,30.6070,0.3753,
2016-12-14,6.530,6.660,6.420,6.480,4052584,27.0000,0.2834,
2016-12-13,6.660,6.710,6.475,6.510,1884655,27.1250,0.2847,
2016-12-12,6.740,6.800,6.560,6.640,1541014,27.6670,0.2904,
2016-12-09,6.740,6.950,6.650,6.810,2996091,28.3750,0.2979,
2016-12-08,6.490,6.870,6.460,6.830,2416331,28.4580,0.2987,
2016-12-07,6.170,6.560,6.130,6.500,2454048,27.0830,0.2843,
2016-12-06,6.000,6.210,5.810,6.190,2693245,25.7920,0.2707,
2016-12-05,5.890,6.040,5.770,6.030,1236496,25.1250,0.2637,
2016-12-02,5.740,5.970,5.710,5.800,1637106,24.1670,0.2537,
2016-12-01,5.560,5.810,5.530,5.770,2327803,24.0420,0.2524,
2016-11-30,5.970,6.000,5.520,5.590,2603096,23.2920,0.2445,
2016-11-29,5.860,6.180,5.831,5.940,2086499,24.7500,0.2598,
2016-11-28,6.080,6.120,5.790,5.850,2180400,24.3750,0.2559,
2016-11-25,6.290,6.341,6.060,6.100,870429,25.4170,0.2668,
2016-11-24,0.000,0.000,0.000,6.240,0,N/A,N/A
2016-11-23,6.180,6.540,6.140,6.240,2567278,26.0000,0.2729,
2016-11-22,5.920,6.285,5.900,6.210,4557321,25.8750,0.2716,
2016-11-21,5.790,5.890,5.635,5.840,1504076,24.3330,0.2554,
2016-11-18,5.780,5.910,5.690,5.790,1201379,24.1250,0.2533,
2016-11-17,5.980,5.980,5.710,5.760,1781323,24.0000,0.2519,
2016-11-16,5.660,6.015,5.630,5.970,4421316,24.8750,0.2611,
2016-11-15,5.690,5.735,5.460,5.630,3642268,23.4580,0.2463,
2016-11-14,5.260,5.510,5.250,5.270,2022535,21.9580,0.2305,
2016-11-11,5.040,5.260,4.915,5.230,2446147,21.7920,0.2288,
2016-11-10,4.850,5.150,4.820,5.070,2550010,21.1250,0.2218,
2016-11-09,4.380,4.810,4.300,4.800,2453079,20.0000,0.2099,
2016-11-08,4.520,4.620,4.350,4.550,1642720,18.9580,0.1990,
2016-11-07,4.470,4.670,4.470,4.560,3845821,19.0000,0.1995,
2016-11-04,4.280,4.590,4.210,4.360,1377359,18.1670,0.1907,
2016-11-03,4.340,4.355,4.220,4.260,1199911,17.7500,0.1863,
2016-11-02,4.240,4.350,4.220,4.300,823245,17.9170,0.1881,
2016-11-01,4.290,4.350,4.120,4.240,1923403,17.6670,0.1855,
2016-10-31,4.420,4.460,4.260,4.310,1633211,17.9580,0.1885,
2016-10-28,4.370,4.550,4.370,4.420,1017912,18.4170,0.1933,
2016-10-27,4.520,4.540,4.350,4.370,1168558,18.2080,0.1911,
2016-10-26,4.470,4.560,4.420,4.520,1028560,18.8330,0.1977,
2016-10-25,4.600,4.650,4.450,4.540,1468231,18.9170,0.1986,
2016-10-24,4.590,4.650,4.510,4.640,1429785,19.3330,0.2030,
2016-10-21,4.410,4.600,4.410,4.550,1202795,18.9580,0.1990,
2016-10-20,4.470,4.530,4.380,4.470,2064299,18.6250,0.1955,
2016-10-19,4.410,4.520,4.315,4.510,2475498,18.7920,0.1973,
2016-10-18,4.200,4.470,4.170,4.400,3303329,18.3330,0.1925,
2016-10-17,4.240,4.315,4.060,4.160,2260557,17.3330,0.1820,
2016-10-14,4.300,4.420,4.200,4.350,5203484,18.1250,0.1903,
2016-10-13,4.350,4.400,4.230,4.270,2191114,17.7920,0.1868,
2016-10-12,4.410,4.465,4.350,4.360,1811137,18.1670,0.1907,
2016-10-11,4.580,4.610,4.380,4.400,2273116,18.3330,0.1925,
2016-10-10,4.570,4.700,4.550,4.580,1372888,19.0830,0.2003,
2016-10-07,4.550,4.620,4.460,4.530,1520875,18.8750,0.1981,
2016-10-06,4.680,4.700,4.510,4.530,2381178,18.8750,0.1981,
2016-10-05,4.430,4.670,4.420,4.660,2861381,19.4170,0.2038,
2016-10-04,4.340,4.430,4.310,4.390,1267736,18.2920,0.1920,
2016-10-03,4.310,4.360,4.230,4.310,1600392,17.9580,0.1885,
2016-09-30,4.440,4.500,4.200,4.240,4421295,17.6670,0.1855,
2016-09-29,4.570,4.880,4.445,4.470,13621049,18.6250,0.1955,
2016-09-28,4.320,4.320,4.210,4.270,4253770,12.9390,0.1871,
2016-09-27,4.080,4.210,4.078,4.180,2433157,12.6670,0.1832,
2016-09-26,4.360,4.390,4.090,4.110,1944522,12.4550,0.1801,
2016-09-23,4.260,4.380,4.260,4.360,1000422,13.2120,0.1911,
2016-09-22,4.150,4.280,4.150,4.260,1562586,12.9090,0.1867,
2016-09-21,4.160,4.180,4.050,4.100,2225441,12.4240,0.1797,
2016-09-20,4.250,4.330,4.120,4.120,3674460,12.4850,0.1806,
2016-09-19,4.110,4.180,4.010,4.100,2091377,12.4240,0.1797,
2016-09-16,4.000,4.120,3.985,4.100,2498085,12.4240,0.1797,
2016-09-15,3.910,4.190,3.910,4.010,2038285,12.1520,0.1757,
2016-09-14,3.950,4.030,3.840,3.930,2490135,11.9090,0.1722,
2016-09-13,3.900,3.970,3.870,3.940,2682757,11.9390,0.1727,
2016-09-12,3.840,3.940,3.730,3.920,4330610,11.8790,0.1718,
2016-09-09,4.080,4.120,3.810,3.840,7175866,11.6360,0.1683,
2016-09-08,4.060,4.190,3.900,4.080,22156456,12.3640,0.1788,
